Stations,River,Lat,Long,geometry,hydro_dist_brick,num_brick_field,hydro_dist_ind,num_industry,CrR,NiR,CuR,AsR,CdR,PbR,MR,SandR,SiltR,ClayR,FeR,RI
S1,Dhaleshwari,23.91026,90.229845,POINT (10044340.399756001 2742476.70627368),0.0002,6,0.006789622,2,92.69,19.18,40.34,7.96,2.66,50.73,32.47,22,43,35,26700,133.26
S2,Dhaleshwari,23.858227,90.240038,POINT (10045475.079325657 2736141.9436627394),2.00E-05,1,0,0,88.4,17.21,41.56,9.88,2.97,38.9,30.11,11,62,26,34970,115.16
S3,Dhaleshwari,23.802571,90.24539,POINT (10046070.861240383 2729368.914036628),0.0002,6,0.0021,4,66.92,37.52,49.47,15.48,2.1,32.79,30.58,47,26,23,23970,107.92
S4,Dhaleshwari,23.754298,90.246581,POINT (10046203.442753918 2723496.704977303),0.073025954,2,0.027233506,6,55.56,26.08,69.77,18.77,1.79,43.4,31.62,59,27,18,23990,126.51
S5,Dhaleshwari,23.702157,90.277077,POINT (10049598.24194515 2717156.4153029486),0.074112534,15,0.1221633,5,64.5,30.62,73.19,20.96,1.45,53.55,32.84,61,24,10,35130,147.44
S6,Dhaleshwari,23.657826,90.317763,POINT (10054127.386747565 2711767.8054846074),0.059847162,16,0.017011564,8,60.35,11.72,98.28,10.42,0.82,37.88,30.92,65,8,25,38700,120.3
S7,Dhaleshwari,23.628,90.388647,POINT (10062018.157532955 2708143.364201993),0.002,26,0.054891434,9,69.37,14.95,96.72,19.88,0.97,33.47,34.52,12,65,25,43480,120.94
S8,Turag,23.877666,90.350573,POINT (10057779.779240493 2738508.2485546176),0.069148629,31,0.011071348,12,15.7,40.76,73.87,11.36,2.17,98.1,35.8,15,53,31,45600,202.03
S9,Turag,23.826986,90.342201,POINT (10056847.81246357 2732339.727732372),0.071188392,19,0.038213203,3,12.74,39.43,87.2,10.78,3.6,170.4,32.26,19,29,51,47900,320.26
S10,Turag,23.792572,90.339601,POINT (10056558.381787509 2728152.3983553937),0.027388047,19,0.014003668,2,11.13,47.01,80.78,18.9,2.79,108.6,33.18,11,57,35,50395,225.63
S11,Buriganga,23.716059,90.359274,POINT (10058748.370129883 2718846.6356903426),0.045101812,1,0.042026515,2,74.47,49.94,141.4,9.88,5.56,155.4,36.46,55,25,19,42650,340.09
S12,Buriganga,23.664709,90.451701,POINT (10069037.296705434 2712604.341706875),0.087210959,2,0.0046348,8,86.82,55.88,147.9,7.98,7.94,177.9,34.51,14,29,56,46870,386.12
S13,Balu,23.7640048,90.4825378,POINT (10072470.033579128 2724677.3216521908),0.00256,11,0.067092512,1,10.37,29.73,56.47,6.67,1.96,35.98,35.79,68,22,11,32700,92.84
S14,Balu,23.808202,90.484506,POINT (10072689.132600907 2730054.043742744),0,0,2.00E-05,1,9.44,21.94,53.71,6.9,1.15,31.48,37.18,20,43,35,26320,81.26
S15,Shitalakshya,23.83271,90.548478,POINT (10079810.463065935 2733036.304108891),2.00E-05,1,0,0,51.37,16.78,71.89,15.71,8.7,76.52,37.24,15,63,25,30790,187.61
S16,Shitalakshya,23.715818,90.504423,POINT (10074906.282899037 2718817.333112144),0.0023,11,0.008102934,8,40.75,46.14,85.56,13.92,10.16,98.47,38.75,15,30,58,36500,232.42
S17,Shitalakshya,23.62842,90.514128,POINT (10075986.638557186 2708194.3966693203),0.0025,25,0.002,20,44.82,50.63,91.33,15.84,9.42,95.44,34.56,13,31,51,25110,231.42
