Paper_ID,First_Author,Year,River,Station_ID,Station_Name,Lat,Lon,Season,Season_Norm,Matrix,Unit_Norm,Background_standard,Analytical_method,Access_status,WHO_exceedance,GNN_usability,Metal,Concentration,Igeo_orig,EF_orig,CF_orig
1,Bhuiyan,2015,Buriganga,BW1,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,120.0,,,
1,Bhuiyan,2015,Buriganga,BW1,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,200.0,,,
1,Bhuiyan,2015,Buriganga,BW1,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,210.0,,,
1,Bhuiyan,2015,Buriganga,BW1,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,210.0,,,
1,Bhuiyan,2015,Buriganga,BW1,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,80.0,,,
1,Bhuiyan,2015,Buriganga,BW1,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,200.0,,,
1,Bhuiyan,2015,Buriganga,BW1,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,100.0,,,
1,Bhuiyan,2015,Buriganga,BW1,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,110.0,,,
1,Bhuiyan,2015,Buriganga,BW2,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,12.0,,,
1,Bhuiyan,2015,Buriganga,BW2,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,120.0,,,
1,Bhuiyan,2015,Buriganga,BW2,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,300.0,,,
1,Bhuiyan,2015,Buriganga,BW2,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,150.0,,,
1,Bhuiyan,2015,Buriganga,BW2,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,90.0,,,
1,Bhuiyan,2015,Buriganga,BW2,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,210.0,,,
1,Bhuiyan,2015,Buriganga,BW2,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,80.0,,,
1,Bhuiyan,2015,Buriganga,BW2,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,200.0,,,
1,Bhuiyan,2015,Buriganga,BW3,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,160.0,,,
1,Bhuiyan,2015,Buriganga,BW3,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,400.0,,,
1,Bhuiyan,2015,Buriganga,BW3,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,250.0,,,
1,Bhuiyan,2015,Buriganga,BW3,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,190.0,,,
1,Bhuiyan,2015,Buriganga,BW3,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,70.0,,,
1,Bhuiyan,2015,Buriganga,BW3,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,120.0,,,
1,Bhuiyan,2015,Buriganga,BW3,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,60.0,,,
1,Bhuiyan,2015,Buriganga,BW3,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,210.0,,,
1,Bhuiyan,2015,Buriganga,BW4,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,120.0,,,
1,Bhuiyan,2015,Buriganga,BW4,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,210.0,,,
1,Bhuiyan,2015,Buriganga,BW4,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,160.0,,,
1,Bhuiyan,2015,Buriganga,BW4,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,220.0,,,
1,Bhuiyan,2015,Buriganga,BW4,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,26.0,,,
1,Bhuiyan,2015,Buriganga,BW4,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,130.0,,,
1,Bhuiyan,2015,Buriganga,BW4,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,200.0,,,
1,Bhuiyan,2015,Buriganga,BW4,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,120.0,,,
1,Bhuiyan,2015,Buriganga,BW5,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,150.0,,,
1,Bhuiyan,2015,Buriganga,BW5,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,140.0,,,
1,Bhuiyan,2015,Buriganga,BW5,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,140.0,,,
1,Bhuiyan,2015,Buriganga,BW5,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,140.0,,,
1,Bhuiyan,2015,Buriganga,BW5,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,90.0,,,
1,Bhuiyan,2015,Buriganga,BW5,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,140.0,,,
1,Bhuiyan,2015,Buriganga,BW5,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,140.0,,,
1,Bhuiyan,2015,Buriganga,BW5,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,140.0,,,
1,Bhuiyan,2015,Buriganga,BW6,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,140.0,,,
1,Bhuiyan,2015,Buriganga,BW6,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,110.0,,,
1,Bhuiyan,2015,Buriganga,BW6,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,200.0,,,
1,Bhuiyan,2015,Buriganga,BW6,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,200.0,,,
1,Bhuiyan,2015,Buriganga,BW6,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,90.0,,,
1,Bhuiyan,2015,Buriganga,BW6,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,110.0,,,
1,Bhuiyan,2015,Buriganga,BW6,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,190.0,,,
1,Bhuiyan,2015,Buriganga,BW6,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,90.0,,,
1,Bhuiyan,2015,Buriganga,BW7,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,110.0,,,
1,Bhuiyan,2015,Buriganga,BW7,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,120.0,,,
1,Bhuiyan,2015,Buriganga,BW7,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,120.0,,,
1,Bhuiyan,2015,Buriganga,BW7,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,150.0,,,
1,Bhuiyan,2015,Buriganga,BW7,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,80.0,,,
1,Bhuiyan,2015,Buriganga,BW7,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,150.0,,,
1,Bhuiyan,2015,Buriganga,BW7,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,100.0,,,
1,Bhuiyan,2015,Buriganga,BW7,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,1800.0,,,
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,180.0,,,
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,130.0,,,
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,130.0,,,
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,130.0,,,
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,70.0,,,
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,100.0,,,
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,110.0,,,
1,Bhuiyan,2015,Buriganga,BW8,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,300.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,100.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,90.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,140.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,170.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,50.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,110.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,90.0,,,
1,Bhuiyan,2015,Buriganga,BW9,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,1100.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,130.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,150.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cu,190.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,As,90.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cd,90.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Pb,100.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Mn,180.0,,,
1,Bhuiyan,2015,Buriganga,BW10,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Fe,1500.0,,,
1,Bhuiyan,2015,Buriganga,BW11,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Cr,100.0,,,
1,Bhuiyan,2015,Buriganga,BW11,,,,Dry,Winter,Water,µg/L,Cabrera et al. 1999,AAS,Accessed,True,2,Ni,130.0,,,
