scenario,distribution,method,n_stations,RI_mean,RI_median,RI_p5,RI_p95,RI_max
primary_only,lognormal,per_metal_MC,34,1676.895743447198,1589.1686866316522,1024.8927513744254,2624.4133196658154,7656.761013205112
primary_only,normal,per_metal_MC,34,1679.099276779925,1670.7813595390035,959.9041283167477,2444.7722505000343,3400.943055777001
literature_only,lognormal,per_metal_MC,37,2684.7233465115837,1660.2594786453537,976.1022917765968,7090.137735266062,132044.44031972263
literature_only,normal,per_metal_MC,37,2495.5990543059484,2362.6349264902537,950.5897795045518,4615.738037694149,7988.38029792082
pooled,lognormal,per_metal_MC,71,1964.4048083683733,1572.6174430388753,907.9768550408968,4041.6249478583813,67810.8694075507
pooled,normal,per_metal_MC,71,2209.215019746095,2048.5389480068657,940.0305208556418,3987.6464341741485,7012.544015798379
primary_only,lognormal,per_station_RI_MC,34,506.3748280589158,390.4193320506831,116.21112664653337,1291.6221120882196,5503.756863679762
primary_only,normal,per_station_RI_MC,34,518.4864893922187,501.73805673224183,0.0,1134.3314388327785,1827.093788868216
literature_only,lognormal,per_station_RI_MC,37,769.4051579325046,727.0381446519721,425.1539899310369,1248.8897576784009,2273.147512688788
literature_only,normal,per_station_RI_MC,37,769.8395345989425,773.4488129243907,356.5343007115851,1167.7255714041037,1754.221206551359
pooled,lognormal,per_station_RI_MC,71,606.8021498188501,483.75837825819315,157.1652566675966,1486.9938011704764,5145.091557499337
pooled,normal,per_station_RI_MC,71,600.0113936525971,585.2984456162815,0.0,1196.2900064145356,2080.286229301908
